year,area,total_conc,total_fem,total_masc,prop_conc,prop_fem,prop_masc
2003,Education,19750,14137,5613,0.24133338221098036,0.29549349943564235,0.16511251654655096
2003,Engineering,3017,1049,1968,0.036865965272431786,0.021926340872037122,0.057890866303868214
2003,Health & Medical,10665,8015,2650,0.1303200263939294,0.16753062162953053,0.07795264009413148
2003,Natural Sciences,7498,3322,4176,0.09162114935786991,0.06943689645081727,0.1228415943521106
2003,Other/Unknown,1486,575,911,0.01815804587167174,0.012018728314033694,0.026798058538020298
2003,Total,81837,47842,33995,1,1,1
2004,Arts & Humanities,2493,1557,936,0.025800776196636482,0.02816926890163371,0.022634939059779455
2004,Business & Management,43934,23252,20682,0.4546856403622251,0.4206755558771914,0.5001450957632038
2004,Education,21075,14310,6765,0.21811125485122898,0.258896748864726,0.16359547301218805
2004,Engineering,3685,1266,2419,0.03813712807244502,0.022904492247571146,0.05849777519829754
2004,Health & Medical,13091,9652,3439,0.13548253557567916,0.17462413836773832,0.083164054942929
2004,Natural Sciences,10153,4384,5769,0.10507632600258732,0.07931539811481193,0.13950957632037145
2004,Other/Unknown,2194,852,1342,0.02270633893919793,0.015414397626327502,0.0324530857032308
2004,Total,96625,55273,41352,1,1,1
2005,Arts & Humanities,3292,1952,1340,0.0283984058246062,0.028335849494832192,0.02849002849002849
2005,Business & Management,50540,26933,23607,0.43598281603146943,0.39096794797352225,0.5019135093761959
2005,Education,27183,20331,6852,0.23449388381842964,0.29513122749970966,0.14568184717438448
2005,Engineering,4219,1495,2724,0.036395162264281154,0.02170189292765068,0.05791555045286389
2005,Health & Medical,16132,12060,4072,0.13916254032884182,0.175066775055162,0.0865756686652209
2005,Natural Sciences,12099,5165,6934,0.10437190524663136,0.0749767738938567,0.1474252668282519
2005,Other/Unknown,2457,952,1505,0.02119528648574041,0.01381953315526652,0.031998129013054384
2005,Total,115922,68888,47034,1,1,1
2006,Arts & Humanities,3886,2361,1525,0.027360994740436677,0.027758835563289206,0.02676706510101276
2006,Business & Management,58485,30518,27967,0.41178789948390093,0.3588073459214146,0.4908816456918189
2006,Education,35356,26557,8799,0.2489385821005865,0.31223693183154233,0.15444157758938445
2006,Engineering,4848,1670,3178,0.03413435473536722,0.019634585087121122,0.05578080845312692
2006,Health & Medical,22432,16738,5694,0.15794179979862985,0.19679262586121757,0.0999420778263388
2006,Natural Sciences,13913,5888,8025,0.09796024699528963,0.06922660897782586,0.14085619503975566
2006,Other/Unknown,3107,1322,1785,0.02187612214578918,0.015543066757589296,0.03133063029856248
2006,Total,142027,85054,56973,1,1,1
