X,YEAR,BACHELORS,GDP,UNRATE,Total_Men,Total_Women,Total,gdp,unemploy
212,2018,Grand total,20656.5155,3.89166666666667,897544,1212084,2109628,20533057312000,3.896
213,2018,Health & Medical,20656.5155,3.89166666666667,39679,212123,251802,20533057312000,3.896
214,2018,Natural Sciences,20656.5155,3.89166666666667,99511,124909,224420,20533057312000,3.896
215,2018,Other/Unknown,20656.5155,3.89166666666667,117081,166161,283242,20533057312000,3.896
216,2018,Social & Behavioral Sciences,20656.5155,3.89166666666667,106554,190439,296993,20533057312000,3.896
217,2019,Arts & Humanities,21539.9815,3.675,115992,195341,311333,21380976119000,3.669
218,2019,Business & Management,21539.9815,3.675,224406,196451,420857,21380976119000,3.669
219,2019,Education,21539.9815,3.675,29354,81299,110653,21380976119000,3.669
220,2019,Engineering,21539.9815,3.675,175862,49517,225379,21380976119000,3.669
221,2019,Grand total,21539.9815,3.675,908954,1229156,2138110,21380976119000,3.669
222,2019,Health & Medical,21539.9815,3.675,41083,217116,258199,21380976119000,3.669
223,2019,Natural Sciences,21539.9815,3.675,99781,129285,229066,21380976119000,3.669
224,2019,Other/Unknown,21539.9815,3.675,117134,168372,285506,21380976119000,3.669
225,2019,Social & Behavioral Sciences,21539.9815,3.675,105342,191775,297117,21380976119000,3.669
226,2020,Arts & Humanities,21375.2815,8.1,114264,196800,311064,21060473613000,8.055
227,2020,Business & Management,21375.2815,8.1,223581,194151,417732,21060473613000,8.055
228,2020,Education,21375.2815,8.1,30126,82299,112425,21060473613000,8.055
229,2020,Engineering,21375.2815,8.1,182485,54280,236765,21060473613000,8.055
230,2020,Grand total,21375.2815,8.1,911999,1252407,2164406,21060473613000,8.055
231,2020,Health & Medical,21375.2815,8.1,41143,222387,263530,21060473613000,8.055
232,2020,Natural Sciences,21375.2815,8.1,100004,136977,236981,21060473613000,8.055
233,2020,Other/Unknown,21375.2815,8.1,115930,169354,285284,21060473613000,8.055
234,2020,Social & Behavioral Sciences,21375.2815,8.1,104466,196159,300625,21060473613000,8.055
235,2021,Arts & Humanities,23725.6455,5.35,110618,191451,302069,23315080560000,5.349
236,2021,Business & Management,23725.6455,5.35,224280,196526,420806,23315080560000,5.349
237,2021,Education,23725.6455,5.35,29824,85656,115480,23315080560000,5.349
238,2021,Engineering,23725.6455,5.35,185883,56650,242533,23315080560000,5.349
239,2021,Grand total,23725.6455,5.35,910369,1280649,2191018,23315080560000,5.349
240,2021,Health & Medical,23725.6455,5.35,42066,232318,274384,23315080560000,5.349
241,2021,Natural Sciences,23725.6455,5.35,99370,143383,242753,23315080560000,5.349
242,2021,Other/Unknown,23725.6455,5.35,115006,170711,285717,23315080560000,5.349
243,2021,Social & Behavioral Sciences,23725.6455,5.35,103322,203954,307276,23315080560000,5.349
244,2022,Arts & Humanities,26054.61425,3.65,105147,181975,287122,25604848907611,3.65
245,2022,Business & Management,26054.61425,3.65,215457,187453,402910,25604848907611,3.65
246,2022,Education,26054.61425,3.65,29477,84959,114436,25604848907611,3.65
247,2022,Engineering,26054.61425,3.65,185302,59278,244580,25604848907611,3.65
248,2022,Grand total,26054.61425,3.65,884262,1254230,2138492,25604848907611,3.65
249,2022,Health & Medical,26054.61425,3.65,41063,228228,269291,25604848907611,3.65
250,2022,Natural Sciences,26054.61425,3.65,97689,143277,240966,25604848907611,3.65
251,2022,Other/Unknown,26054.61425,3.65,111045,165483,276528,25604848907611,3.65
252,2022,Social & Behavioral Sciences,26054.61425,3.65,99082,203577,302659,25604848907611,3.65
253,2023,Arts & Humanities,27811.517,3.625,100701,173798,274499,27292170793214.4,3.638
254,2023,Business & Management,27811.517,3.625,211327,180626,391953,27292170793214.4,3.638
255,2023,Education,27811.517,3.625,28871,82158,111029,27292170793214.4,3.638
256,2023,Engineering,27811.517,3.625,186133,60521,246654,27292170793214.4,3.638
257,2023,Grand total,27811.517,3.625,863431,1218032,2081463,27292170793214.4,3.638
258,2023,Health & Medical,27811.517,3.625,38333,217583,255916,27292170793214.4,3.638
259,2023,Natural Sciences,27811.517,3.625,95617,140741,236358,27292170793214.4,3.638
260,2023,Other/Unknown,27811.517,3.625,106666,159608,266274,27292170793214.4,3.638
261,2023,Social & Behavioral Sciences,27811.517,3.625,95783,202997,298780,27292170793214.4,3.638
262,2024,Arts & Humanities,29298.01275,4.025,99042,172023,271065,28750956130731.2,4.022
263,2024,Business & Management,29298.01275,4.025,212170,179549,391719,28750956130731.2,4.022
264,2024,Education,29298.01275,4.025,29271,81695,110966,28750956130731.2,4.022
265,2024,Engineering,29298.01275,4.025,190069,62288,252357,28750956130731.2,4.022
266,2024,Grand total,29298.01275,4.025,858709,1206367,2065076,28750956130731.2,4.022
267,2024,Health & Medical,29298.01275,4.025,38458,215133,253591,28750956130731.2,4.022
268,2024,Natural Sciences,29298.01275,4.025,91999,138289,230288,28750956130731.2,4.022
269,2024,Other/Unknown,29298.01275,4.025,104388,155580,259968,28750956130731.2,4.022
270,2024,Social & Behavioral Sciences,29298.01275,4.025,93312,201810,295122,28750956130731.2,4.022
